RegionId,ZipCode,State,City,County,Latitude,Longitude,Latest_ZHVI
58422,1550,MA,Southbridge,Worcester County,42.059737,-72.033908,344066.2586
58423,1560,MA,Grafton,Worcester County,42.175395,-71.674223,658307.2903
58425,1562,MA,Spencer,Worcester County,42.247211,-71.991867,398314.8811
58426,1564,MA,Sterling,Worcester County,42.447924,-71.776045,554671.4422
58427,1566,MA,Sturbridge,Worcester County,42.103214,-72.079545,470231.183
58428,1568,MA,Upton,Worcester County,42.176526,-71.603588,673244.0932
58429,1569,MA,Uxbridge,Worcester County,42.05593,-71.631232,505593.5146
58430,1570,MA,Webster,Worcester County,42.047532,-71.846952,402969.6732
58431,1571,MA,Dudley,Worcester County,42.053778,-71.935075,414453.9659
58433,1581,MA,Westborough,Worcester County,42.268426,-71.613309,752078.9916
58435,1583,MA,West Boylston,Worcester County,42.369417,-71.785036,474979.9747
58436,1585,MA,West Brookfield,Worcester County,42.240796,-72.162645,398121.596
58438,1588,MA,Northbridge,Worcester County,42.118794,-71.672494,467555.0446
58439,1590,MA,Sutton,Worcester County,42.132051,-71.750318,586895.7253
58441,1602,MA,Worcester,Worcester County,42.269189,-71.850728,419076.9493
58442,1603,MA,Worcester,Worcester County,42.243826,-71.843569,372457.2914
58443,1604,MA,Worcester,Worcester County,42.253254,-71.767957,395912.3376
58444,1605,MA,Worcester,Worcester County,42.289683,-71.787793,409358.5262
58445,1606,MA,Worcester,Worcester County,42.315249,-71.795741,401268.7488
58446,1607,MA,Worcester,Worcester County,42.225974,-71.788894,380654.4456
58448,1609,MA,Worcester,Worcester County,42.285114,-71.829987,548920.3993
58449,1610,MA,Worcester,Worcester County,42.247049,-71.808366,363439.2133
58450,1611,MA,Leicester,Worcester County,42.237604,-71.875838,380946.4105
58451,1612,MA,Paxton,Worcester County,42.296798,-71.928991,495813.3995
58458,1701,MA,Framingham,Middlesex County,42.319587,-71.4428,642499.8105
58459,1702,MA,Framingham,Middlesex County,42.282379,-71.436621,605633.9367
58464,1719,MA,Boxboro,Middlesex County,42.485985,-71.520985,929341.769
58465,1720,MA,Acton,Middlesex County,42.483953,-71.438495,907930.8847
58466,1721,MA,Ashland,Middlesex County,42.257755,-71.473526,694644.5812
58467,1730,MA,Bedford,Middlesex County,42.499295,-71.281889,1005291.685
58469,1740,MA,Bolton,Worcester County,42.439941,-71.601879,832358.0804
58470,1741,MA,Carlisle,Middlesex County,42.53662,-71.361832,1246460.582
58471,1742,MA,Concord,Middlesex County,42.462911,-71.364496,1437851.53
58472,1745,MA,Southborough,Worcester County,42.292114,-71.499197,600409.114
58473,1746,MA,Holliston,Middlesex County,42.195951,-71.45343,681251.4042
58474,1747,MA,Hopedale,Worcester County,42.123007,-71.531404,549846.9002
58475,1748,MA,Hopkinton,Middlesex County,42.224096,-71.540489,937710.5768
58476,1749,MA,Hudson,Middlesex County,42.389071,-71.545864,564726.5488
58477,1752,MA,Marlborough,Middlesex County,42.349617,-71.547214,560053.7809
